Data;Alba;Tramonto;Ore_luce
s 01/01/2022;07:42:00;17:09:00;09:27:00
D 02/01/2022;07:42:00;17:10:00;09:28:00
L 03/01/2022;07:42:00;17:10:00;09:28:00
M 04/01/2022;07:42:00;17:11:00;09:29:00
M 05/01/2022;07:43:00;17:12:00;09:29:00
G 06/01/2022;07:43:00;17:13:00;09:30:00
v 07/01/2022;07:43:00;17:14:00;09:31:00
s 08/01/2022;07:42:00;17:15:00;09:33:00
D 09/01/2022;07:42:00;17:16:00;09:34:00
L 10/01/2022;07:42:00;17:17:00;09:35:00
M 11/01/2022;07:42:00;17:18:00;09:36:00
M 12/01/2022;07:42:00;17:19:00;09:37:00
G 13/01/2022;07:42:00;17:20:00;09:38:00
v 14/01/2022;07:41:00;17:21:00;09:40:00
s 15/01/2022;07:41:00;17:22:00;09:41:00
D 16/01/2022;07:41:00;17:23:00;09:42:00
L 17/01/2022;07:40:00;17:24:00;09:44:00
M 18/01/2022;07:40:00;17:25:00;09:45:00
M 19/01/2022;07:40:00;17:26:00;09:46:00
G 20/01/2022;07:39:00;17:27:00;09:48:00
v 21/01/2022;07:39:00;17:28:00;09:49:00
s 22/01/2022;07:38:00;17:29:00;09:51:00
D 23/01/2022;07:37:00;17:31:00;09:54:00
L 24/01/2022;07:37:00;17:32:00;09:55:00
M 25/01/2022;07:36:00;17:33:00;09:57:00
M 26/01/2022;07:36:00;17:34:00;09:58:00
G 27/01/2022;07:35:00;17:35:00;10:00:00
v 28/01/2022;07:34:00;17:36:00;10:02:00
s 29/01/2022;07:33:00;17:37:00;10:04:00
D 30/01/2022;07:33:00;17:39:00;10:06:00
L 31/01/2022;07:32:00;17:40:00;10:08:00
M 01/02/2022;07:32:00;17:40:00;10:08:00
M 02/02/2022;07:31:00;17:41:00;10:10:00
G 03/02/2022;07:30:00;17:42:00;10:12:00
v 04/02/2022;07:29:00;17:43:00;10:14:00
s 05/02/2022;07:28:00;17:44:00;10:16:00
D 06/02/2022;07:27:00;17:46:00;10:19:00
L 07/02/2022;07:26:00;17:47:00;10:21:00
M 08/02/2022;07:25:00;17:48:00;10:23:00
M 09/02/2022;07:24:00;17:49:00;10:25:00
G 10/02/2022;07:23:00;17:50:00;10:27:00
v 11/02/2022;07:22:00;17:52:00;10:30:00
s 12/02/2022;07:21:00;17:53:00;10:32:00
D 13/02/2022;07:20:00;17:54:00;10:34:00
L 14/02/2022;07:18:00;17:55:00;10:37:00
M 15/02/2022;07:17:00;17:56:00;10:39:00
M 16/02/2022;07:16:00;17:57:00;10:41:00
G 17/02/2022;07:15:00;17:58:00;10:43:00
v 18/02/2022;07:14:00;18:00:00;10:46:00
s 19/02/2022;07:12:00;18:01:00;10:49:00
D 20/02/2022;07:11:00;18:02:00;10:51:00
L 21/02/2022;07:10:00;18:03:00;10:53:00
M 22/02/2022;07:08:00;18:04:00;10:56:00
M 23/02/2022;07:07:00;18:05:00;10:58:00
G 24/02/2022;07:06:00;18:06:00;11:00:00
v 25/02/2022;07:04:00;18:07:00;11:03:00
s 26/02/2022;07:03:00;18:09:00;11:06:00
D 27/02/2022;07:02:00;18:10:00;11:08:00
L 28/02/2022;07:00:00;18:11:00;11:11:00
M 01/03/2022;06:56:00;18:14:00;11:18:00
M 02/03/2022;06:54:00;18:15:00;11:21:00
G 03/03/2022;06:53:00;18:16:00;11:23:00
v 04/03/2022;06:51:00;18:17:00;11:26:00
s 05/03/2022;06:50:00;18:18:00;11:28:00
D 06/03/2022;06:48:00;18:19:00;11:31:00
L 07/03/2022;06:47:00;18:20:00;11:33:00
M 08/03/2022;06:45:00;18:21:00;11:36:00
M 09/03/2022;06:44:00;18:22:00;11:38:00
G 10/03/2022;06:42:00;18:23:00;11:41:00
v 11/03/2022;06:41:00;18:25:00;11:44:00
s 12/03/2022;06:39:00;18:26:00;11:47:00
D 13/03/2022;06:38:00;18:27:00;11:49:00
L 14/03/2022;06:36:00;18:28:00;11:52:00
M 15/03/2022;06:35:00;18:29:00;11:54:00
